"financial_year","actual_revised_estimated","category","item","sector","ministry","type","class","amount","percent_of_gdp"
2011,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,64,0
2012,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,37,0
2013,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,41,0
2014,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,62,0
2015,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,111,0
2016,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,98,0
2017,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,87,0
2018,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,115,0
2019,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,111,0
2020,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,93,0
2021,"Revised","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,88,0
2022,"Estimated","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,87,0
1997,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,186,0.001
1998,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,194,0.001
1999,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,220,0.001
2000,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,213,0.001
2001,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,234,0.001
2002,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,241,0.001
2003,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,228,0.001
2004,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,251,0.001
2005,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,294,0.001
2006,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,341,0.001
2007,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,352,0.001
2008,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,412,0.002
2009,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,422,0.001
2010,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,500,0.001
2011,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,525,0.001
2012,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,430,0.001
2013,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,336,0.001
2014,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,354,0.001
2015,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,424,0.001
2016,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,456,0.001
2017,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,496,0.001
2018,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,494,0.001
2019,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,517,0.001
2020,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,611,0.001
2021,"Revised","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,628,0.001
2022,"Estimated","Expenditure","Total Expenditure","Social Development","Communications and Information","Operating",NA,756,0.001
1997,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,137,0.001
1998,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,158,0.001
1999,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,139,0.001
2000,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,97,0.001
2001,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,162,0.001
2002,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,143,0.001
2003,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,160,0.001
2004,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,155,0.001
2005,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,110,0.001
2006,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,89,0
2007,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,95,0
2008,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,132,0
2009,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,128,0
2010,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,109,0
2011,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,123,0
2012,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,79,0
2013,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,61,0
2014,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,148,0
2015,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,144,0
2016,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,88,0
2017,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,160,0
2018,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,36,0
2019,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,41,0
2020,"Actual","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,20,0
2021,"Revised","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,20,0
2022,"Estimated","Expenditure","Total Expenditure","Social Development","Communications and Information","Development",NA,32,0
1997,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,0,0
1998,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,0,0
1999,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,0,0
2000,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,0,0
2001,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,0,0
2002,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,0,0
2003,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,0,0
2004,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,0,0
2005,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,0,0
2006,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,0,0
2007,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,2,0
2008,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,340,0.001
2009,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,354,0.001
2010,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,364,0.001
2011,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,469,0.001
2012,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,497,0.001
2013,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,666,0.002
2014,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,709,0.002
2015,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,706,0.002
2016,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,1154,0.003
2017,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,1028,0.002
2018,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,1027,0.002
2019,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,1029,0.002
2020,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,2291,0.005
2021,"Revised","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,1616,0.003
2022,"Estimated","Expenditure","Total Expenditure","Social Development","Manpower","Operating",NA,1668,0.003
1997,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
1998,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
1999,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
2000,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
2001,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
2002,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
2003,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
2004,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
2005,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
2006,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
2007,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
2008,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,1,0
2009,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
2010,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
2011,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
2012,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
2013,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
2014,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
2015,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
2016,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
2017,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
2018,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,2,0
2019,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,2,0
2020,"Actual","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,3,0
2021,"Revised","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,6,0
2022,"Estimated","Expenditure","Total Expenditure","Social Development","Manpower","Development",NA,0,0
1997,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,6097,0.041
1998,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,6481,0.046
1999,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,6647,0.044
2000,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,6561,0.039
2001,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,7089,0.044
2002,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,7694,0.046
2003,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,7714,0.044
2004,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,8243,0.042
2005,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,8889,0.041
2006,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,9273,0.038
2007,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,9660,0.035
2008,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,10397,0.039
2009,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,10603,0.036
2010,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,10623,0.032
2011,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,10797,0.03
2012,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,11056,0.03
2013,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,11329,0.029
2014,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,11867,0.029
2015,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,12672,0.03
2016,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,13281,0.03
2017,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,13582,0.028
2018,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,13825,0.027
2019,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,13669,0.027
2020,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,13027,0.027
2021,"Revised","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,14803,0.027
2022,"Estimated","Expenditure","Total Expenditure","Security and External Relations","Defence","Operating",NA,15761,0.028
1997,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,418,0.003
1998,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,775,0.005
1999,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,620,0.004
2000,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,861,0.005
2001,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,730,0.005
2002,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,509,0.003
2003,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,524,0.003
2004,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,377,0.002
2005,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,363,0.002
2006,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,355,0.001
2007,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,349,0.001
2008,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,328,0.001
2009,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,440,0.001
2010,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,438,0.001
2011,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,479,0.001
2012,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,468,0.001
2013,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,422,0.001
2014,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,429,0.001
2015,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,431,0.001
2016,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,543,0.001
2017,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,594,0.001
2018,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,482,0.001
2019,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,481,0.001
2020,"Actual","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,278,0.001
2021,"Revised","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,558,0.001
2022,"Estimated","Expenditure","Total Expenditure","Security and External Relations","Defence","Development",NA,601,0.001
1997,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,994,0.007
1998,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,1032,0.007
1999,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,1101,0.007
2000,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,1300,0.008
2001,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,1580,0.01
2002,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,1563,0.009
2003,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,1708,0.01
2004,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,1752,0.009
2005,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,1825,0.008
2006,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,2010,0.008
2007,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,2428,0.009
2008,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,2478,0.009
2009,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,2577,0.009
2010,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,2937,0.009
2011,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,2947,0.008
2012,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,3266,0.009
2013,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,3522,0.009
2014,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,4029,0.01
2015,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,4377,0.01
2016,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,4652,0.01
2017,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,4996,0.01
2018,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,5505,0.011
2019,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,5703,0.011
2020,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,6013,0.013
2021,"Revised","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,6716,0.012
2022,"Estimated","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Operating",NA,6884,0.012
1997,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,900,0.006
1998,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,847,0.006
1999,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,729,0.005
2000,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,654,0.004
2001,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,570,0.004
2002,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,478,0.003
2003,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,439,0.003
2004,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,473,0.002
2005,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,460,0.002
2006,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,399,0.002
2007,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,396,0.001
2008,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,387,0.001
2009,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,350,0.001
2010,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,240,0.001
2011,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,194,0.001
2012,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,207,0.001
2013,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,379,0.001
2014,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,438,0.001
2015,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,506,0.001
2016,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,573,0.001
2017,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,831,0.002
2018,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,1129,0.002
2019,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,972,0.002
2020,"Actual","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,800,0.002
2021,"Revised","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,1332,0.002
2022,"Estimated","Expenditure","Total Expenditure","Security and External Relations","Home Affairs","Development",NA,1306,0.002
1997,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,143,0.001
1998,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,148,0.001
1999,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,153,0.001
2000,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,180,0.001
2001,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,196,0.001
2002,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,211,0.001
2003,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,212,0.001
2004,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,233,0.001
2005,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,267,0.001
2006,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,257,0.001
2007,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,311,0.001
2008,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,344,0.001
2009,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,343,0.001
2010,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,360,0.001
2011,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,344,0.001
2012,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,355,0.001
2013,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,382,0.001
2014,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,394,0.001
2015,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,447,0.001
2016,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,439,0.001
2017,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,435,0.001
2018,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,444,0.001
2019,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,436,0.001
2020,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,398,0.001
2021,"Revised","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,421,0.001
2022,"Estimated","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Operating",NA,473,0.001
1997,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,6,0
1998,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,24,0
1999,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,53,0
2000,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,70,0
2001,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,62,0
2002,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,81,0
2003,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,57,0
2004,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,49,0
2005,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,46,0
2006,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,86,0
2007,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,83,0
2008,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,61,0
2009,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,71,0
2010,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,40,0
2011,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,44,0
2012,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,45,0
2013,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,59,0
2014,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,40,0
2015,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,19,0
2016,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,53,0
2017,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,24,0
2018,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,26,0
2019,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,16,0
2020,"Actual","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,9,0
2021,"Revised","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,13,0
2022,"Estimated","Expenditure","Total Expenditure","Security and External Relations","Foreign Affairs","Development",NA,16,0
1997,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,53,0
1998,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,136,0.001
1999,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,91,0.001
2000,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,107,0.001
2001,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,130,0.001
2002,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,156,0.001
2003,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,158,0.001
2004,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,161,0.001
2005,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,166,0.001
2006,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,188,0.001
2007,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,225,0.001
2008,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,224,0.001
2009,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,414,0.001
2010,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,439,0.001
2011,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,380,0.001
2012,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,456,0.001
2013,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,496,0.001
2014,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,520,0.001
2015,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,611,0.001
2016,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,634,0.001
2017,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,645,0.001
2018,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,697,0.001
2019,"Actual","Expenditure","Total Expenditure","Economic Development","Manpower","Operating",NA,892,0.002
